Producer,Name,Calories (kcal),Fat (g),Carbohydrates (g),Sugar (g),Protein (g),Salt (g),Category,Subcategory,Color (drink),Taste,Price (PLN),Ingredients
Princessa,PRINCESSA Klasyczna Wafel przekładany kremem kakaowym oblany deserową ,541,"31,6","57,1","39,3","5,4","0,26",Food,Chocolate bar,,Chocolate-Cocoa,"2,29"," czekolada deserowa (32,7%) (cukier, miazga kakaowa, tłuszcz kakaowy, kakao w proszku o obniżonej zawartości tłuszczu, oleje roślinne (palmowy, shea), tłuszcz mleczny, emulgatory (lecytyny, E 476), ekstrakt wanilii), mąka pszenna, olej palmowy, cukier, serwatka w proszku (z mleka), kakao w proszku (1,8%) o obniżonej zawartości tłuszczu, odtłuszczone mleko w proszku, substancje spulchniające (węglany amonu, węglany sodu), emulgator (lecytyny), sól Może zawierać: orzechy ziemne, orzechy i soję. "
Przysnacki,Przysnacki Chrupki o smaku zielona cebulka,479,19,69,"3,7","6,7","1,5",Food,Crisps,,Onion,"5,99","grys kukurydziany (75 %),olej rzepakowy (18 %),cebula w proszku (2,7 %),sól,ekstrakt z drożdży,aromat naturalny,czosnek w proszku,emulgatory: węglan wapnia, mono- i diglicerydy kwasów tłuszczowych,suszona natka pietruszki,suszona zielona cebulka (0,07 %),kwas: kwas mlekowy,rozmaryn "
Wadowice skawa,Wadowice Skawa Korsarz Draże kokosowe XXL,488,19,74,71,"3,4","0,2",Food,Chocolate dragees,,Coconut,"3,69","cukier,polewa kakaowa 17,9% [cukier, częściowo utwardzone tłuszcze roślinne (palmowy, sojowy i rzepakowy), kakao o obniżonej zawartości tłuszczu, emulgator: lecytyny (z soi), aromat],wiórki kokosowe 10%,serwatka w proszku,częściowo utwardzony tłuszcz palmowy,mleko w proszku odtłuszczone,wafle (mąka pszenna, skrobia, olej rzepakowy, sól),syrop glukozowy,barwnik E 150 c,substancja glazurująca E 414 "
Tarczyński,Tarczyński Kabanosy roślINNE 3 ziarna ,415,29,17,"8,6",21,"2,5",Food,Meat,,,"7,42","ziarna (słonecznik 22%, siemię lniane 7%, nasiona chia 2%), białko sojowe 17%, woda, olej słonecznikowy, cebula smażona (suszona cebula, olej słonecznikowy), tłuszcz roślinny kokosowy, skrobia, przyprawy (zawierają gorczycę), sól, tłuszcz roślinny (Shea, kokosowy), cukier, błonnik pszenny bezglutenowy, ekstrakty przypraw, aromaty (w tym aromat dymu wędzarniczego), ekstrakt drożdżowy, czerwony burak w proszku, przeciwutleniacz: askorbinian sodu, dwufosforan żelazowy, witamina B12. Osłonka jadalna - substancja żelująca: alginian sodu, stabilizatory: celuloza, chlorek wapnia. Produkt może zawierać: mleko, orzechy, seler. "
Pudliszki,Pudliszki Ketchup łagodny,116,0,27,20,"1,6","2,6",Food,Sauce,,Tomato,"4,99","przecier pomidorowy 70 %,cukier,ocet spirytusowy,skrobia modyfikowana kukurydziana,sól,naturalne aromaty (zawierają seler),pieprz cayenne 0,01 %,przyprawy,zioła "
Amino,Zupa błyskawiczna Amino Grzybowa,76,"3,5","9,5","0,5","1,3","0,75",Food,Pre-made meal,,Mushrooms,"2,39","Kluski (90%): mąka PSZENNA, tłuszcz palmowy, sól, skrobia modyfikowana, cukier, olej rzepakowy, ekstrakt z kurkumy. Może zawierać mleko, jaja, soję, seler i gorczycę. Mieszanka smakowa (10%): sól, skrobia, wzmacniacze smaku: glutaminian monosodowy, inozynian disodowy i guanylan disodowy; maltodekstryna, mineralna sól potasowa, natka pietruszki*** (3,3%), por***, koncentrat soku z pieczarek***, cebula*** (2,5%), tłuszcz palmowy, hydrolizowane białka roślinne, syrop karmelowy, ekstrakt drożdżowy, borowiki*** (1,2%), preparat serwatkowy (MLEKO), aromaty, maślaki*** (0,8%), pieprz, sos sojowy (SOJA, PSZENICA), LAKTOZA, mąka PSZENNA. Może zawierać jaja, seler i gorczycę. *** uprawiane i pozyskiwane w sposób zrównoważony. "
Bakoma,Jogurt białkowy MEN,82,"1,5",7,"6,7",10,"0,15",Food,Yoghurt,,Fruity,,
Bakoma,Baton białkowy MEN,317,11,"17,4","3,5","31,5","0,4",Food,Chocolate bar,,Vanilla,,
Krasnystaw,Krasnystaw Kefir,50,2,"4,7","4,2","3,4","0,08",Food,Kefir,,,"2,75","mleko,białka mleka,żywe kultury bakterii i drożdży kefirowych "
Nestle,Płatki Nesquik,377,"8,5","2,8","75,2","22,4","0,22",Food,Cornflakes,,Chocolate,,"Mąka pszenna pełnoziarnista (53,1%), cukier, mąka kukurydziana (17,2%), syrop glukozowy, kakao o obniżonej zawartości tłuszczu(5,6%), substancja wzbogacająca (składnik mineralny: wapń), zawiera olej słonecznikowy i/lub palmowy, sól, aromaty naturalne, substancje wzbogacające (składnik mineralny: żelazo; witaminy: B3, B5, B2, B6, B1, B9, D)."
Bakoma,Kefir proteinowy MEN,71,2,"7,3","7,3",6,"0,12",Food,Kefir,,,,
Żabka,Panini z sosem bazyliowym,243,"8,6",27,"1,8",13,"1,4",Food,Pre-made meal,,Chicken,,
Graal,Graal Mexicana Tuńczyk z warzywami,212,15,"9,3","3,4","8,9","0,81",Food,Canned food,,Fishy,"8,39","tuńczyk 26 % (Katsuwonus pelamis, złowione w morzu**: Środkowo-wschodni Atlantyk FAO 34; Południowo-wschodni Atlantyk FAO 47; Ocean Indyjski FAO 51; Ocean Spokojny FAO 71, FAO77, FAO 87, narzędzie połowowe: sieci okrążające i podrywki (okrężnice)),marchew,kukurydza,fasola czerwona,woda,białko pszeniczne,papryka,olej rzepakowy,sól,ekstrakt pieprzu,**Obszar połowu wskazany w numerze partii po literze P "
Rio Mare,Rio Mare Tuńczyk w sosie własnym,101,"0,5",0,0,24,"1,1",Food,Canned food,,Fishy,"13,59","tuńczyk* (ryba),woda,sól,naturalne aromaty (seler, cebula),*Euthynnus (Katsuwonus) pelamis "
Marinero,Marinero Łosoś świeży filet ze skórą,220,16,0,0,19,"0,12",Food,Fish,,Fishy,"6,99"," łosoś atlantycki (Salmo salar), filet ze skórą. **Ryba świeża lub ryba rozmrożona, nie zamrażać ponownie "
McDonalds,Cheeseburger,254,11,25,6,13,"1,3",Food,Fast food,,,"6,9",
McDonalds,Podwójny WieśMac,279,19,10,"2,6",16,"0,84",Food,Fast food,,,"25,9",
McDonalds,Maestro Grand Classic,229,12,16,"3,8",13,"1,07",Food,Fast food,,,"28,5",
McDonalds,Veggie Burger,208,11,21,"4,9","5,8","1,3",Food,Fast food,,,"20,5",
Nortfish,Fishburger classic,216,"8,9","24,7","3,2","8,5","0,9",Food,Fast food,,,,
MaxBurger,Hamburger z serem,270,"16,2","18,9","3,4","11,7","1,4",Food,Fast food,,,,
MaxBurger,Serki chilli duże,294,14,"31,5","2,7",10,2,Food,Fast food,,,,
McDonalds,McWrap Bekon,248,13,23,"2,6","9,6",1,Food,Fast food,,,"21,7",
McDonalds,Chikker,272,12,30,"3,6","9,6","1,1",Food,Fast food,,,"6,9",
McDonalds,Frytki małe,287,14,36,"0,3","3,6","0,67",Food,Fast food,,,"8,7",
BurgerKing,Cheeseburger,267,14,20,"3,9",17,"1,1",Food,Fast food,,,,
KFC,Longer,242,8,33,"7,8","9,3","1,5",Food,Fast food,,,,
